{'d4', 'Nf6', 'c4', 'g6', 'Nf3', 'Bg7', 'Nc3', 'O-O', 'e4', 'd6', 'Be2', 'e5', 'Be3', 'Na6', 'O-O', 'Ng4', 'Bg5', 'Qe8', 'h3', 'h6', 'Bh4', 'exd4', 'Nxd4', 'Nf6', 'Bf3', 'Nh7', 'Qd2', 'Ng5', 'Bxg5', 'hxg5'}
{'e4', 'e6', 'd4', 'd5', 'Nd2', 'c5', 'exd5', 'Qxd5', 'Ngf3', 'cxd4', 'Bc4', 'Qd6', 'O-O', 'Nf6', 'Nb3', 'Nc6', 'Nbxd4', 'Nxd4', 'Nxd4', 'a6', 'Bb3', 'Bd7', 'Re1', 'O-O-O', 'Bg5', 'Qc7', 'Qf3', 'Bd6', 'h3', 'Qc5'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be2', 'e6', 'O-O', 'Be7', 'f4', 'O-O', 'a4', 'e5', 'Nb3', 'Qb6', 'Kh1', 'Be6', 'f5', 'Bxb3', 'cxb3', 'a5', 'g4', 'h6', 'g5', 'hxg5'}
{'e4', 'c5', 'c3', 'Nf6', 'e5', 'Nd5', 'Nf3', 'Nc6', 'd4', 'cxd4', 'Bc4', 'Nb6', 'Bb3', 'd5', 'exd6', 'Qxd6', 'O-O', 'Be6', 'Na3', 'dxc3', 'Qe2', 'Bxb3', 'Nb5', 'Qb8', 'axb3', 'e5', 'bxc3', 'Be7', 'Bg5', 'f6'}
{'e4', 'c5', 'Nf3', 'e6', 'd4', 'cxd4', 'Nxd4', 'a6', 'Nc3', 'b5', 'Bd3', 'Qb6', 'Nb3', 'Qc7', 'f4', 'Bb7', 'O-O', 'b4', 'Nb1', 'Nf6', 'Qe2', 'Be7', 'a3', 'Nc6', 'e5', 'Nd5', 'Be4', 'd6', 'exd6', 'Qxd6'}
{'Nf3', 'Nf6', 'd4', 'e6', 'c4', 'b6', 'g3', 'Bb7', 'Bg2', 'Be7', 'O-O', 'O-O', 'd5', 'exd5', 'Nh4', 'c6', 'cxd5', 'Nxd5', 'Nf5', 'Nc7', 'e4', 'd5', 'Nc3', 'Bf6', 'Bf4', 'Bc8', 'g4', 'Nba6', 'Rc1', 'Bxf5'}
{'e4', 'c5', 'Nf3', 'Nc6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'd6', 'Bb5', 'Bd7', 'O-O', 'e6', 'Be3', 'Be7', 'f4', 'O-O', 'Qf3', 'Nxd4', 'Bxd4', 'Bxb5', 'Nxb5', 'd5', 'exd5', 'Nxd5', 'Rad1', 'Qc8', 'Qg3', 'Bf6'}
{'e4', 'Nf6', 'Nc3', 'e5', 'Nf3', 'Nc6', 'Bb5', 'Bd6', 'd3', 'h6', 'O-O', 'a6', 'Bc4', 'O-O', 'a3', 'Be7', 'Nd5', 'd6', 'c3', 'Bg4', 'Be3', 'Nxd5', 'Bxd5', 'a5', 'h3', 'Bh5', 'Qb3', 'Rb8', 'g4', 'Bg6'}
{'e4', 'c5', 'Nf3', 'd6', 'Bb5', 'Bd7', 'Bxd7', 'Qxd7', 'c4', 'Nc6', 'Nc3', 'Nf6', 'O-O', 'g6', 'd4', 'cxd4', 'Nxd4', 'Bg7', 'Nde2', 'O-O', 'f3', 'a6', 'a4', 'Qc7', 'Be3', 'e6', 'b3', 'Rac8', 'Rc1', 'Na5'}
{'e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'a6', 'Ba4', 'Nf6', 'O-O', 'Be7', 'Bxc6', 'dxc6', 'd3', 'Nd7', 'Nbd2', 'O-O', 'Nc4', 'f6', 'Nh4', 'Nc5', 'Nf5', 'Be6', 'Nce3', 'Kh8', 'Qf3', 'Bd6', 'Qg3', 'Qd7', 'Bd2', 'Bg8'}
{'e4', 'c5', 'Nf3', 'e6', 'd4', 'cxd4', 'Nxd4', 'a6', 'Bd3', 'g6', 'O-O', 'Bg7', 'c3', 'Nc6', 'Nxc6', 'bxc6', 'Re1', 'd5', 'Nd2', 'Nf6', 'Qa4', 'O-O', 'Qxc6', 'Rb8', 'exd5', 'Bb7', 'Qa4', 'Qxd5', 'Bf1', 'Qh5'}
{'d4', 'd5', 'Nf3', 'Nf6', 'c4', 'dxc4', 'e3', 'e6', 'Bxc4', 'a6', 'O-O', 'c5', 'a4', 'Nc6', 'Qe2', 'Qc7', 'Nc3', 'Bd6', 'Bd2', 'O-O', 'd5', 'exd5', 'Nxd5', 'Nxd5', 'Bxd5', 'Bg4', 'h3', 'Bh5', 'Bc3', 'Rad8'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'e6', 'g4', 'h6', 'h4', 'Nc6', 'Rg1', 'h5', 'gxh5', 'Nxh5', 'Be3', 'a6', 'Qd2', 'Nf6', 'O-O-O', 'Bd7', 'f4', 'Rxh4', 'Nf3', 'Rh5', 'Qf2', 'b5'}
{'e4', 'c5', 'Nf3', 'e6', 'd4', 'cxd4', 'Nxd4', 'a6', 'Nc3', 'Nc6', 'Nxc6', 'bxc6', 'Bd3', 'd5', 'O-O', 'Nf6', 'Re1', 'Be7', 'e5', 'Nd7', 'Qg4', 'Kf8', 'Bd2', 'h5', 'Qf4', 'h4', 'Bg6', 'Qe8', 'Na4', 'h3'}
{'d4', 'Nf6', 'Nf3', 'd5', 'Bf4', 'Bf5', 'e3', 'e6', 'Bd3', 'Bxd3', 'Qxd3', 'Bd6', 'Bxd6', 'cxd6', 'O-O', 'Nc6', 'Nbd2', 'O-O', 'c3', 'Qb6', 'b3', 'Rac8', 'Rac1', 'e5', 'Nh4', 'e4', 'Qb1', 'g6', 'f3', 'Qd8'}
